"Status";"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
"OK";1;"D3";"D_DO-41_SOD81_P7.62mm_Horizontal";1;"D";;;
"OK";2;"C3";"CP_Radial_D10.0mm_P5.00mm";1;"1 uF";;;
"OK";3;"C2";"C_0805_2012Metric";1;"0.1 uF";;;
"OK";4;"C1";"C_0805_2012Metric";1;"0.33 uF";;;
"OK";5;"J17";"PinSocket_1x02_P2.54mm_Vertical";1;"Gleis Süd In";;;
"OK";6;"Q2,Q7,Q1,Q5,Q8,Q6";"TO-92_Inline";6;"BC547";;;
"OK";7;"R24,R20,R18,R22";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"10K";;;
8;"R26,R28";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"10K";;;
"OK";9;"J9";"PinHeader_1x03_P2.54mm_Vertical";1;"RLT Nord";;;
10;"R10,R9,R11,R4,R3,R12,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";7;"1K";;;
"OK";11;"J8";"PinHeader_1x02_P2.54mm_Vertical";1;"Reed Nord";;;
12;"R14,R5,R29,R8,R32,R7,R31,R13,R6,R16,R15,R30";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";12;"330";;;
13;"U1,U3";"DIP-16_W7.62mm";2;"LTV-847";;;
"OK";14;"J13";"PinHeader_1x04_P2.54mm_Vertical";1;"Signal Süd";;;
15;"U5,U4";"DIP-8_W7.62mm";2;"WS2811";;;
"OK";16;"J14";"PinSocket_1x02_P2.54mm_Vertical";1;"Gleis Nord In";;;
"OK";17;"J6,J7";"PinSocket_1x08_P2.54mm_Vertical";2;"Conn_01x08";;;
18;"U2";"RPi_Pico_SMD_TH";1;"Pico";;;
19;"D1,D2";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";2;"WS2812B";;;
20;"R19,R21,R17,R23";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"660";;;
"OK";21;"J12";"PinHeader_1x04_P2.54mm_Vertical";1;"Signal Nord";;;
22;"K2,K1";"Relay_DPDT_Finder_30.22";2;"Relay_DPDT";;;
23;"J1";"DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"DE9_Plug_MountingHoles";;;
"OK";24;"J16";"PinSocket_1x02_P2.54mm_Vertical";1;"Gleis Süd Out";;;
25;"JP5";"TestPoint_2Pads_Pitch5.08mm_Drill1.3mm";1;"Jumper_2_Bridged";;;
26;"R27,R25";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"660";;;
"OK";27;"J11";"PinHeader_1x03_P2.54mm_Vertical";1;"RLT Süd";;;
"OK";28;"J10";"PinHeader_1x02_P2.54mm_Vertical";1;"Reed Süd";;;
"OK";29;"J15";"PinSocket_1x02_P2.54mm_Vertical";1;"Gleis Nord Out";;;
30;"U7";"TO-220-3_Vertical";1;"LM7805_TO220";;;
31;"U6";"DIP-18_W7.62mm_Socket";1;"ULN2803A";;;
"OK";32;"J18";"PinSocket_1x02_P2.54mm_Vertical";1;"Local Supply";;;
"OK";33;"J3";"PinSocket_1x08_P2.54mm_Vertical";1;"Man. Bedienung";;;
34;"J2";"DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"DE9_Plug_MountingHoles";;;
35;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1k";;;
